Date,U6
1/1/1994,11.7
2/1/1994,11.4
3/1/1994,11.5
4/1/1994,11.3
5/1/1994,10.9
6/1/1994,11
7/1/1994,10.8
8/1/1994,10.6
9/1/1994,10.4
10/1/1994,10.4
11/1/1994,10.1
12/1/1994,10.1
1/1/1995,10.1
2/1/1995,9.9
3/1/1995,9.9
4/1/1995,10.1
5/1/1995,10.1
6/1/1995,10.1
7/1/1995,10.1
8/1/1995,10.1
9/1/1995,10.2
10/1/1995,10
11/1/1995,10.1
12/1/1995,10
1/1/1996,9.8
2/1/1996,10
3/1/1996,9.9
4/1/1996,10
5/1/1996,9.8
6/1/1996,9.7
7/1/1996,9.7
8/1/1996,9.4
9/1/1996,9.5
10/1/1996,9.5
11/1/1996,9.4
12/1/1996,9.6
1/1/1997,9.4
2/1/1997,9.3
3/1/1997,9.1
4/1/1997,9.3
5/1/1997,8.9
6/1/1997,8.9
7/1/1997,8.7
8/1/1997,8.7
9/1/1997,8.7
10/1/1997,8.5
11/1/1997,8.4
12/1/1997,8.5
1/1/1998,8.4
2/1/1998,8.3
3/1/1998,8.4
4/1/1998,8
5/1/1998,8
6/1/1998,8.1
7/1/1998,8.2
8/1/1998,7.9
9/1/1998,8
10/1/1998,7.9
11/1/1998,7.7
12/1/1998,7.6
1/1/1999,7.6
2/1/1999,7.7
3/1/1999,7.5
4/1/1999,7.7
5/1/1999,7.4
6/1/1999,7.5
7/1/1999,7.5
8/1/1999,7.3
9/1/1999,7.4
10/1/1999,7.2
11/1/1999,7.2
12/1/1999,7.1
1/1/2000,7
2/1/2000,7.1
3/1/2000,7.1
4/1/2000,6.9
5/1/2000,7.1
6/1/2000,7
7/1/2000,7
8/1/2000,7.1
9/1/2000,7
10/1/2000,6.8
11/1/2000,7.1
12/1/2000,6.9
1/1/2001,7.3
2/1/2001,7.3
3/1/2001,7.3
4/1/2001,7.4
5/1/2001,7.5
6/1/2001,7.9
7/1/2001,7.9
8/1/2001,8.2
9/1/2001,8.7
10/1/2001,9.3
11/1/2001,9.4
12/1/2001,9.6
1/1/2002,9.4
2/1/2002,9.5
3/1/2002,9.4
4/1/2002,9.7
5/1/2002,9.6
6/1/2002,9.5
7/1/2002,9.6
8/1/2002,9.6
9/1/2002,9.6
10/1/2002,9.6
11/1/2002,9.8
12/1/2002,9.8
1/1/2003,9.9
2/1/2003,10.1
3/1/2003,10
4/1/2003,10.2
5/1/2003,10.1
6/1/2003,10.3
7/1/2003,10.3
8/1/2003,10.1
9/1/2003,10.4
10/1/2003,10.2
11/1/2003,10.1
12/1/2003,9.8
1/1/2004,9.8
2/1/2004,9.7
3/1/2004,10
4/1/2004,9.6
5/1/2004,9.7
6/1/2004,9.6
7/1/2004,9.5
8/1/2004,9.4
9/1/2004,9.4
10/1/2004,9.7
11/1/2004,9.4
12/1/2004,9.3
1/1/2005,9.2
2/1/2005,9.2
3/1/2005,9.1
4/1/2005,9
5/1/2005,8.9
6/1/2005,9
7/1/2005,8.8
8/1/2005,8.9
9/1/2005,9
10/1/2005,8.7
11/1/2005,8.7
12/1/2005,8.6
1/1/2006,8.4
2/1/2006,8.4
3/1/2006,8.2
4/1/2006,8.1
5/1/2006,8.2
6/1/2006,8.4
7/1/2006,8.5
8/1/2006,8.4
9/1/2006,8
10/1/2006,8.2
11/1/2006,8.1
12/1/2006,7.9
1/1/2007,8.3
2/1/2007,8.1
3/1/2007,8
4/1/2007,8.2
5/1/2007,8.2
6/1/2007,8.3
7/1/2007,8.4
8/1/2007,8.4
9/1/2007,8.4
10/1/2007,8.4
11/1/2007,8.5
12/1/2007,8.8
1/1/2008,9.1
2/1/2008,9
3/1/2008,9.1
4/1/2008,9.2
5/1/2008,9.7
6/1/2008,10
7/1/2008,10.5
8/1/2008,10.8
9/1/2008,11.1
10/1/2008,11.8
11/1/2008,12.7
12/1/2008,13.6
1/1/2009,14.1
2/1/2009,15.1
3/1/2009,15.8
4/1/2009,15.9
5/1/2009,16.5
6/1/2009,16.5
7/1/2009,16.4
8/1/2009,16.7
9/1/2009,16.7
10/1/2009,17.1
11/1/2009,17.1
12/1/2009,17.2
1/1/2010,16.6
2/1/2010,17
3/1/2010,17.1
4/1/2010,17.2
5/1/2010,16.7
6/1/2010,16.4
7/1/2010,16.4
8/1/2010,16.5
9/1/2010,16.9
10/1/2010,16.6
11/1/2010,16.9
12/1/2010,16.6
1/1/2011,16.1
2/1/2011,16
3/1/2011,16
4/1/2011,16.1
5/1/2011,15.9
6/1/2011,16.1
7/1/2011,15.9
8/1/2011,16.1
9/1/2011,16.4
10/1/2011,15.8
11/1/2011,15.6
12/1/2011,15.2
1/1/2012,15.1
2/1/2012,15
3/1/2012,14.6
4/1/2012,14.7
5/1/2012,14.8
6/1/2012,14.7
7/1/2012,14.7
8/1/2012,14.6
9/1/2012,14.8
10/1/2012,14.4
11/1/2012,14.4
12/1/2012,14.4
1/1/2013,14.5
2/1/2013,14.3
3/1/2013,13.9
4/1/2013,14
5/1/2013,13.9
6/1/2013,14.2
7/1/2013,13.8
8/1/2013,13.6
9/1/2013,13.5
10/1/2013,13.6
11/1/2013,13.1
12/1/2013,13.1
1/1/2014,12.6
2/1/2014,12.6
3/1/2014,12.7
4/1/2014,12.3
5/1/2014,12.3
6/1/2014,12
7/1/2014,12.1
8/1/2014,12
9/1/2014,11.7
10/1/2014,11.5
11/1/2014,11.4
12/1/2014,11.2
1/1/2015,11.2
2/1/2015,10.9
3/1/2015,10.9
4/1/2015,10.9
5/1/2015,10.9
6/1/2015,10.4
7/1/2015,10.3
8/1/2015,10.2
9/1/2015,10
10/1/2015,9.8
11/1/2015,10
12/1/2015,9.9
1/1/2016,9.7
2/1/2016,9.6
3/1/2016,9.8
4/1/2016,9.9
5/1/2016,9.9
6/1/2016,9.5
7/1/2016,9.6
8/1/2016,9.6
9/1/2016,9.7
10/1/2016,9.6
11/1/2016,9.4
12/1/2016,9.2
1/1/2017,9.2
2/1/2017,9
3/1/2017,8.8
4/1/2017,8.6
5/1/2017,8.5
6/1/2017,8.5
7/1/2017,8.5
8/1/2017,8.6
9/1/2017,8.3
10/1/2017,8.1
11/1/2017,8
12/1/2017,8.1
1/1/2018,8
2/1/2018,8.1
3/1/2018,8
4/1/2018,7.9
5/1/2018,7.8
6/1/2018,7.8
7/1/2018,7.5
8/1/2018,7.4
9/1/2018,7.5
10/1/2018,7.5
11/1/2018,7.6
12/1/2018,7.6
1/1/2019,8
2/1/2019,7.2
3/1/2019,7.4
4/1/2019,7.4
5/1/2019,7.1
6/1/2019,7.2
7/1/2019,6.9
8/1/2019,7.2
9/1/2019,6.9
10/1/2019,6.9
11/1/2019,6.8
12/1/2019,6.8
1/1/2020,7
2/1/2020,7
3/1/2020,8.8
4/1/2020,22.9
5/1/2020,21.1
6/1/2020,18
7/1/2020,16.5
8/1/2020,14.2
9/1/2020,12.8
10/1/2020,12.1
11/1/2020,11.9
12/1/2020,11.7
1/1/2021,11.2
2/1/2021,11.1
3/1/2021,10.8
4/1/2021,10.3
5/1/2021,10.1
6/1/2021,9.8
7/1/2021,9.2
8/1/2021,8.8
9/1/2021,8.4
10/1/2021,8.2
11/1/2021,7.7
12/1/2021,7.3
1/1/2022,7.1
2/1/2022,7.2
3/1/2022,7
4/1/2022,7
5/1/2022,7.1
6/1/2022,6.7
7/1/2022,6.8
8/1/2022,6.9
9/1/2022,6.7
10/1/2022,6.7
11/1/2022,6.7
12/1/2022,6.6
1/1/2023,6.7
2/1/2023,6.8
3/1/2023,6.7
4/1/2023,6.6
5/1/2023,6.7
6/1/2023,6.9
7/1/2023,6.7
8/1/2023,7.1
9/1/2023,7
10/1/2023,7.2
11/1/2023,7
12/1/2023,7.2
1/1/2024,7.2
2/1/2024,7.3
3/1/2024,7.3
4/1/2024,7.4
5/1/2024,7.4
6/1/2024,7.4
7/1/2024,7.8
8/1/2024,7.8
9/1/2024,7.7
10/1/2024,7.7
11/1/2024,7.7
12/1/2024,7.5
1/1/2025,7.5
2/1/2025,8
3/1/2025,7.9
4/1/2025,7.8
5/1/2025,7.8
6/1/2025,7.7
7/1/2025,7.9
